"xPYMid","FKxPYMxPJGprojectionGroup","FKxPYMzMNTmonth","FKxPYMeENTbuilder","xPYMyear","Rep_YearID","Prior_Year_ID","xPYMdirtStartMan","xPYMdirtStartCalc","xPYMdirtStart","xPYMlotStartMan","xPYMlotStartCalc","xPYMlotStart","xPYMinvStart","xPYMsalesGoalLock","xPYMsalesGoal","xPYMsalesPlanLock","xPYMsalesPlan","xPYMsalesAct","xPYMsalesSupp","xPYMlotsDevPlanLock","xPYMlotsDevPlan","xPYMlotsDevAct","xPYMlotsDevSupp","xPYMdirtEndMan","xPYMdirtEndCal","xPYMdirtEnd","Expr1027","xPYMlotsEndCal","xPYMlotsEndMan","xPYMlotsEnd","xPYMlotsEndCalcSpec","xPYMlotsEndCalcAvail","xPYMinvEnd","xPYMclosingsGoalLock","xPYMclosingsGoal","xPYMclosingsPlanLock","xPYMclosingsPlan","xPYMclosingsAct","xPYMdigPlanLock","xPYMdigPlan","xPYMdigAct","xPYMtdownPlanLock","xPYMtdownPlan","xPYMtdownAct","xPYMtdownReqCP","xPYMstartsPlanLock","xPYMstartsPlan","xPYMstartsAct","xPYMlotRevA","xPYMhomeRevA","xPYMinvEndINT","xPYMinvEndEXT"
29540,100,3,189,2025,"100-189-2025-03","100-189-2025-02",,0,0,,34,34,34,,,,,,,,,,,,0.00,0.00,,34.00,,"34",6,28,34.00,,,,,,,,,,,,,,,,,,0.00,34.00
29539,100,4,189,2025,"100-189-2025-04","100-189-2025-03",,0,0,,34,34,34,,,,,,,,,,,,0.00,0.00,,34.00,,"34",6,28,34.00,,,,,,,,,,,,,,,,,,0.00,34.00
29538,100,5,189,2025,"100-189-2025-05","100-189-2025-04",,0,0,,34,34,34,,,,,,,,,,,,0.00,0.00,,34.00,,"34",6,28,34.00,,,,,,,,,,,,,,,,,,0.00,34.00
29537,100,6,189,2025,"100-189-2025-06","100-189-2025-05",,0,0,,34,34,34,,,,3,3,,,,,,,0.00,0.00,,31.00,,"31",4,27,31.00,,,,,,,,,,,,,,,,,,0.00,31.00
29536,100,7,189,2025,"100-189-2025-07","100-189-2025-06",,0,0,,31,31,31,,,,1,1,,,,,,,0.00,0.00,,30.00,,"30",10,20,30.00,,,,,3,,,,,,,,,,7,,,0.00,30.00
29531,100,8,189,2025,"100-189-2025-08","100-189-2025-07",,0,0,,30,30,30,,,,2,2,,,,,,,0.00,0.00,,28.00,,"28",8,20,28.00,,,,,,,,,,,,,,,,,,0.00,28.00
29535,100,9,189,2025,"100-189-2025-09","100-189-2025-08",,0,0,,28,28,28,,,,1,1,,,,,,,0.00,0.00,,27.00,,"27",7,20,27.00,,,,,2,,,,,,,,,,,,,0.00,27.00
29534,100,10,189,2025,"100-189-2025-10","100-189-2025-09",,0,0,,27,27,27,,,,2,2,,,,,,,0.00,0.00,,25.00,,"25",6,19,25.00,,,,,2,,,,,,,,,,,,,0.00,25.00
29533,100,11,189,2025,"100-189-2025-11","100-189-2025-10",,0,0,,25,25,25,,,,,,,,,,,,0.00,0.00,,25.00,,"25",6,19,25.00,,,,,,,,,,,,,,,,,,0.00,25.00
29532,100,12,189,2025,"100-189-2025-12","100-189-2025-11",,0,0,,25,25,25,,,,1,1,,,,,,,0.00,0.00,,24.00,,"24",6,18,24.00,,,,,,,,,,,,,,,,,,0.00,24.00
29577,100,1,189,2026,"100-189-2026-01","100-189-2025-12",,0,0,,24,24,24,,,,1,,,,,,,,0.00,0.00,,23.00,,"23",10,13,23.00,,,,,,,,,,,,,,,6,,,0.00,23.00
29578,100,2,189,2026,"100-189-2026-02","100-189-2026-01",,0,0,,23,23,23,,,,1,,,,,,,,0.00,0.00,,22.00,,"22",0,22,22.00,,,,,,,,,,,,,,,,,,0.00,22.00
29576,100,3,189,2026,"100-189-2026-03","100-189-2026-02",,0,0,,22,22,22,,,,1,,,,,,,,0.00,0.00,,21.00,,"21",0,21,21.00,,,,,,,,,,,,,,,,,,0.00,21.00
29575,100,4,189,2026,"100-189-2026-04","100-189-2026-03",,0,0,,21,21,21,,,,1,,,,,,,,0.00,0.00,,20.00,,"20",0,20,20.00,,,,,,,,,,,,,,,,,,0.00,20.00
29574,100,5,189,2026,"100-189-2026-05","100-189-2026-04",,0,0,,20,20,20,,,,2,,,,,,,,0.00,0.00,,18.00,,"18",0,18,18.00,,,,,,,,,,,,,,,,,,0.00,18.00
29573,100,6,189,2026,"100-189-2026-06","100-189-2026-05",,0,0,,18,18,18,,,,2,,,,,,,,0.00,0.00,,16.00,,"16",0,16,16.00,,,,,,,,,,,,,,,,,,0.00,16.00
29572,100,7,189,2026,"100-189-2026-07","100-189-2026-06",,0,0,,16,16,16,,,,2,,,,,,,,0.00,0.00,,14.00,,"14",0,14,14.00,,,,,,,,,,,,,,,,,,0.00,14.00
29567,100,8,189,2026,"100-189-2026-08","100-189-2026-07",,0,0,,14,14,14,,,,1,,,,,,,,0.00,0.00,,13.00,,"13",0,13,13.00,,,,,,,,,,,,,,,,,,0.00,13.00
29571,100,9,189,2026,"100-189-2026-09","100-189-2026-08",,0,0,,13,13,13,,,,1,,,,,,,,0.00,0.00,,12.00,,"12",0,12,12.00,,,,,,,,,,,,,,,,,,0.00,12.00
29570,100,10,189,2026,"100-189-2026-10","100-189-2026-09",,0,0,,12,12,12,,,,1,,,,,,,,0.00,0.00,,11.00,,"11",0,11,11.00,,,,,,,,,,,,,,,,,,0.00,11.00
29569,100,11,189,2026,"100-189-2026-11","100-189-2026-10",,0,0,,11,11,11,,,,1,,,,,,,,0.00,0.00,,10.00,,"10",0,10,10.00,,,,,,,,,,,,,,,,,,0.00,10.00
29568,100,12,189,2026,"100-189-2026-12","100-189-2026-11",,0,0,,10,10,10,,,,,,,,,,,,0.00,0.00,,10.00,,"10",0,10,10.00,,,,,,,,,,,,,,,,,,0.00,10.00
29553,100,1,189,2027,"100-189-2027-01","100-189-2026-12",,0,0,,10,10,10,,,,,,,,,,,,0.00,0.00,,10.00,,"10",0,10,10.00,,,,,,,,,,,,,,,,,,0.00,10.00
29554,100,2,189,2027,"100-189-2027-02","100-189-2027-01",,0,0,,10,10,10,,,,1,,,,,,,,0.00,0.00,,9.00,,"9",0,9,9.00,,,,,,,,,,,,,,,,,,0.00,9.00
29552,100,3,189,2027,"100-189-2027-03","100-189-2027-02",,0,0,,9,9,9,,,,1,,,,,,,,0.00,0.00,,8.00,,"8",0,8,8.00,,,,,,,,,,,,,,,,,,0.00,8.00
29551,100,4,189,2027,"100-189-2027-04","100-189-2027-03",,0,0,,8,8,8,,,,1,,,,,,,,0.00,0.00,,7.00,,"7",0,7,7.00,,,,,,,,,,,,,,,,,,0.00,7.00
29550,100,5,189,2027,"100-189-2027-05","100-189-2027-04",,0,0,,7,7,7,,,,2,,,,,,,,0.00,0.00,,5.00,,"5",0,5,5.00,,,,,,,,,,,,,,,,,,0.00,5.00
29549,100,6,189,2027,"100-189-2027-06","100-189-2027-05",,0,0,,5,5,5,,,,1,,,,,,,,0.00,0.00,,4.00,,"4",0,4,4.00,,,,,,,,,,,,,,,,,,0.00,4.00
29548,100,7,189,2027,"100-189-2027-07","100-189-2027-06",,0,0,,4,4,4,,,,1,,,,,,,,0.00,0.00,,3.00,,"3",0,3,3.00,,,,,,,,,,,,,,,,,,0.00,3.00
29543,100,8,189,2027,"100-189-2027-08","100-189-2027-07",,0,0,,3,3,3,,,,1,,,,,,,,0.00,0.00,,2.00,,"2",0,2,2.00,,,,,,,,,,,,,,,,,,0.00,2.00
29547,100,9,189,2027,"100-189-2027-09","100-189-2027-08",,0,0,,2,2,2,,,,1,,,,,,,,0.00,0.00,,1.00,,"1",0,1,1.00,,,,,,,,,,,,,,,,,,0.00,1.00
29546,100,10,189,2027,"100-189-2027-10","100-189-2027-09",,0,0,,1,1,1,,,,,,,,,,,,0.00,0.00,,1.00,,"1",0,1,1.00,,,,,,,,,,,,,,,,,,0.00,1.00
29545,100,11,189,2027,"100-189-2027-11","100-189-2027-10",,0,0,,1,1,1,,,,1,,,,,,,,0.00,0.00,,0.00,,"0",0,0,0.00,,,,,,,,,,,,,,,,,,0.00,0.00
29544,100,12,189,2027,"100-189-2027-12","100-189-2027-11",,0,0,,0,0,0,,,,,,,,,,,,0.00,0.00,,0.00,,"0",0,0,0.00,,,,,,,,,,,,,,,,,,0.00,0.00
30899,101,1,189,2025,"101-189-2025-01","101-189-2024-12",44,,44,,,0,44,,,,,,,,,,,,44.00,44.00,,0.00,,"0",0,0,44.00,,,,,,,,,,,,,,,,,,44.00,0.00
30804,101,2,189,2025,"101-189-2025-02","101-189-2025-01",,44,44,,0,0,44,,,,,,,,,,,,44.00,44.00,,0.00,,"0",0,0,44.00,,,,,,,,,,,,,,,,,,44.00,0.00
30805,101,3,189,2025,"101-189-2025-03","101-189-2025-02",,44,44,,0,0,44,,,,,,,,,,,,44.00,44.00,,0.00,,"0",0,0,44.00,,,,,,,,,,,,,,,,,,44.00,0.00
30806,101,4,189,2025,"101-189-2025-04","101-189-2025-03",,44,44,,0,0,44,,,,,,,,,,,,44.00,44.00,,0.00,,"0",0,0,44.00,,,,,,,,,,,,,,,,,,44.00,0.00
30807,101,5,189,2025,"101-189-2025-05","101-189-2025-04",,44,44,,0,0,44,,,,,,,,,,,,44.00,44.00,,0.00,,"0",0,0,44.00,,,,,,,,,,,,,,,,,,44.00,0.00
30808,101,6,189,2025,"101-189-2025-06","101-189-2025-05",,44,44,,0,0,44,,,,,,,,,,,,44.00,44.00,,0.00,,"0",0,0,44.00,,,,,,,,,,,,,,,,,,44.00,0.00
30809,101,7,189,2025,"101-189-2025-07","101-189-2025-06",,44,44,,0,0,44,,,,,,,,,,,,44.00,44.00,,0.00,,"0",0,0,44.00,,,,,,,,,,,,,,,,,,44.00,0.00
30810,101,8,189,2025,"101-189-2025-08","101-189-2025-07",,44,44,,0,0,44,,,,,,,,,,,,44.00,44.00,,0.00,,"0",0,0,44.00,,,,,,,,,,,,,,,,,,44.00,0.00
30811,101,9,189,2025,"101-189-2025-09","101-189-2025-08",,44,44,,0,0,44,,,,,,,,,,,,44.00,44.00,,0.00,,"0",0,0,44.00,,,,,,,,,,,,,,,,,,44.00,0.00
30812,101,10,189,2025,"101-189-2025-10","101-189-2025-09",,44,44,,0,0,44,,,,,,,,,,,,44.00,44.00,,0.00,,"0",0,0,44.00,,,,,,,,,,,,,,,,,,44.00,0.00
30813,101,11,189,2025,"101-189-2025-11","101-189-2025-10",,44,44,,0,0,44,,,,,,,,,,,,44.00,44.00,,0.00,,"0",0,0,44.00,,,,,,,,,,,,,,,,,,44.00,0.00
30814,101,12,189,2025,"101-189-2025-12","101-189-2025-11",,44,44,,0,0,44,,,,,,,,,,,,44.00,44.00,,0.00,,"0",0,0,44.00,,,,,,,,,,,,,,,,,,44.00,0.00
30815,101,1,189,2026,"101-189-2026-01","101-189-2025-12",,44,44,,0,0,44,,,,,,,,,,,,44.00,44.00,,0.00,,"0",0,0,44.00,,,,,,,,,,,,,,,,,,44.00,0.00
30816,101,2,189,2026,"101-189-2026-02","101-189-2026-01",,44,44,,0,0,44,,,,,,,,,,,,44.00,44.00,,0.00,,"0",0,0,44.00,,,,,,,,,,,,,,,,,,44.00,0.00
30817,101,3,189,2026,"101-189-2026-03","101-189-2026-02",,44,44,,0,0,44,,,,,,,,,,,,44.00,44.00,,0.00,,"0",0,0,44.00,,,,,,,,,,,,,,,,,,44.00,0.00
30818,101,4,189,2026,"101-189-2026-04","101-189-2026-03",,44,44,,0,0,44,,,,,,,,,,,,44.00,44.00,,0.00,,"0",0,0,44.00,,,,,,,,,,,,,,,,,,44.00,0.00
30819,101,5,189,2026,"101-189-2026-05","101-189-2026-04",,44,44,,0,0,44,,,,,,,,,,,,44.00,44.00,,0.00,,"0",0,0,44.00,,,,,,,,,,,,,,,,,,44.00,0.00
30820,101,6,189,2026,"101-189-2026-06","101-189-2026-05",,44,44,,0,0,44,,,,,,,,,,,,44.00,44.00,,0.00,,"0",0,0,44.00,,,,,,,,,,,,,,,,,,44.00,0.00
30821,101,7,189,2026,"101-189-2026-07","101-189-2026-06",,44,44,,0,0,44,,,,,,,,,,,,44.00,44.00,,0.00,,"0",0,0,44.00,,,,,,,,,,,,,,,,,,44.00,0.00
30822,101,8,189,2026,"101-189-2026-08","101-189-2026-07",,44,44,,0,0,44,,,,,,,,,,,,44.00,44.00,,0.00,,"0",0,0,44.00,,,,,,,,,,,,,,,,,,44.00,0.00
30823,101,9,189,2026,"101-189-2026-09","101-189-2026-08",,44,44,,0,0,44,,,,,,,,,,,,44.00,44.00,,0.00,,"0",0,0,44.00,,,,,,,,,,,,,,,,,,44.00,0.00
30824,101,10,189,2026,"101-189-2026-10","101-189-2026-09",,44,44,,0,0,44,,,,,,,,16,,,,28.00,28.00,,16.00,,"16",0,16,44.00,,,,,,,,,,,,,,,,,,44.00,0.00
30825,101,11,189,2026,"101-189-2026-11","101-189-2026-10",,28,28,,16,16,44,,,,,,,,,,,,28.00,28.00,,16.00,,"16",0,16,44.00,,,,,,,,,,,,,,,,,,44.00,0.00
30826,101,12,189,2026,"101-189-2026-12","101-189-2026-11",,28,28,,16,16,44,,,,1,,,,,,,,28.00,28.00,,15.00,,"15",0,15,43.00,,,,,,,,,,,,,,,,,,43.00,0.00
30827,101,1,189,2027,"101-189-2027-01","101-189-2026-12",,28,28,,15,15,43,,,,,,,,,,,,28.00,28.00,,15.00,,"15",0,15,43.00,,,,,,,,,,,,,,,,,,43.00,0.00
30828,101,2,189,2027,"101-189-2027-02","101-189-2027-01",,28,28,,15,15,43,,,,1,,,,,,,,28.00,28.00,,14.00,,"14",0,14,42.00,,,,,,,,,,,,,,,,,,42.00,0.00
30829,101,3,189,2027,"101-189-2027-03","101-189-2027-02",,28,28,,14,14,42,,,,1,,,,,,,,28.00,28.00,,13.00,,"13",0,13,41.00,,,,,,,,,,,,,,,,,,41.00,0.00
30830,101,4,189,2027,"101-189-2027-04","101-189-2027-03",,28,28,,13,13,41,,,,1,,,,,,,,28.00,28.00,,12.00,,"12",0,12,40.00,,,,,,,,,,,,,,,,,,40.00,0.00
30831,101,5,189,2027,"101-189-2027-05","101-189-2027-04",,28,28,,12,12,40,,,,2,,,,,,,,28.00,28.00,,10.00,,"10",0,10,38.00,,,,,,,,,,,,,,,,,,38.00,0.00
30832,101,6,189,2027,"101-189-2027-06","101-189-2027-05",,28,28,,10,10,38,,,,1,,,,,,,,28.00,28.00,,9.00,,"9",0,9,37.00,,,,,,,,,,,,,,,,,,37.00,0.00
30833,101,7,189,2027,"101-189-2027-07","101-189-2027-06",,28,28,,9,9,37,,,,1,,,,,,,,28.00,28.00,,8.00,,"8",0,8,36.00,,,,,,,,,,,,,,,,,,36.00,0.00
30834,101,8,189,2027,"101-189-2027-08","101-189-2027-07",,28,28,,8,8,36,,,,1,,,,,,,,28.00,28.00,,7.00,,"7",0,7,35.00,,,,,,,,,,,,,,,,,,35.00,0.00
30835,101,9,189,2027,"101-189-2027-09","101-189-2027-08",,28,28,,7,7,35,,,,1,,,,,,,,28.00,28.00,,6.00,,"6",0,6,34.00,,,,,,,,,,,,,,,,,,34.00,0.00
30836,101,10,189,2027,"101-189-2027-10","101-189-2027-09",,28,28,,6,6,34,,,,,,,,16,,,,12.00,12.00,,22.00,,"22",0,22,34.00,,,,,,,,,,,,,,,,,,34.00,0.00
30837,101,11,189,2027,"101-189-2027-11","101-189-2027-10",,12,12,,22,22,34,,,,1,,,,,,,,12.00,12.00,,21.00,,"21",0,21,33.00,,,,,,,,,,,,,,,,,,33.00,0.00
30838,101,12,189,2027,"101-189-2027-12","101-189-2027-11",,12,12,,21,21,33,,,,,,,,,,,,12.00,12.00,,21.00,,"21",0,21,33.00,,,,,,,,,,,,,,,,,,33.00,0.00
30839,101,1,189,2028,"101-189-2028-01","101-189-2027-12",,12,12,,21,21,33,,,,,,,,,,,,12.00,12.00,,21.00,,"21",0,21,33.00,,,,,,,,,,,,,,,,,,33.00,0.00
30840,101,2,189,2028,"101-189-2028-02","101-189-2028-01",,12,12,,21,21,33,,,,1,,,,,,,,12.00,12.00,,20.00,,"20",0,20,32.00,,,,,,,,,,,,,,,,,,32.00,0.00
30841,101,3,189,2028,"101-189-2028-03","101-189-2028-02",,12,12,,20,20,32,,,,1,,,,,,,,12.00,12.00,,19.00,,"19",0,19,31.00,,,,,,,,,,,,,,,,,,31.00,0.00
30842,101,4,189,2028,"101-189-2028-04","101-189-2028-03",,12,12,,19,19,31,,,,1,,,,,,,,12.00,12.00,,18.00,,"18",0,18,30.00,,,,,,,,,,,,,,,,,,30.00,0.00
30843,101,5,189,2028,"101-189-2028-05","101-189-2028-04",,12,12,,18,18,30,,,,2,,,,,,,,12.00,12.00,,16.00,,"16",0,16,28.00,,,,,,,,,,,,,,,,,,28.00,0.00
30844,101,6,189,2028,"101-189-2028-06","101-189-2028-05",,12,12,,16,16,28,,,,1,,,,,,,,12.00,12.00,,15.00,,"15",0,15,27.00,,,,,,,,,,,,,,,,,,27.00,0.00
30845,101,7,189,2028,"101-189-2028-07","101-189-2028-06",,12,12,,15,15,27,,,,1,,,,,,,,12.00,12.00,,14.00,,"14",0,14,26.00,,,,,,,,,,,,,,,,,,26.00,0.00
30846,101,8,189,2028,"101-189-2028-08","101-189-2028-07",,12,12,,14,14,26,,,,1,,,,,,,,12.00,12.00,,13.00,,"13",0,13,25.00,,,,,,,,,,,,,,,,,,25.00,0.00
30847,101,9,189,2028,"101-189-2028-09","101-189-2028-08",,12,12,,13,13,25,,,,1,,,,,,,,12.00,12.00,,12.00,,"12",0,12,24.00,,,,,,,,,,,,,,,,,,24.00,0.00
30848,101,10,189,2028,"101-189-2028-10","101-189-2028-09",,12,12,,12,12,24,,,,,,,,,,,,12.00,12.00,,12.00,,"12",0,12,24.00,,,,,,,,,,,,,,,,,,24.00,0.00
30849,101,11,189,2028,"101-189-2028-11","101-189-2028-10",,12,12,,12,12,24,,,,1,,,,,,,,12.00,12.00,,11.00,,"11",0,11,23.00,,,,,,,,,,,,,,,,,,23.00,0.00
30850,101,12,189,2028,"101-189-2028-12","101-189-2028-11",,12,12,,11,11,23,,,,,,,,,,,,12.00,12.00,,11.00,,"11",0,11,23.00,,,,,,,,,,,,,,,,,,23.00,0.00
30851,101,1,189,2029,"101-189-2029-01","101-189-2028-12",,12,12,,11,11,23,,,,,,,,,,,,12.00,12.00,,11.00,,"11",0,11,23.00,,,,,,,,,,,,,,,,,,23.00,0.00
30852,101,2,189,2029,"101-189-2029-02","101-189-2029-01",,12,12,,11,11,23,,,,1,,,,,,,,12.00,12.00,,10.00,,"10",0,10,22.00,,,,,,,,,,,,,,,,,,22.00,0.00
30853,101,3,189,2029,"101-189-2029-03","101-189-2029-02",,12,12,,10,10,22,,,,1,,,,,,,,12.00,12.00,,9.00,,"9",0,9,21.00,,,,,,,,,,,,,,,,,,21.00,0.00
30854,101,4,189,2029,"101-189-2029-04","101-189-2029-03",,12,12,,9,9,21,,,,1,,,,,,,,12.00,12.00,,8.00,,"8",0,8,20.00,,,,,,,,,,,,,,,,,,20.00,0.00
30855,101,5,189,2029,"101-189-2029-05","101-189-2029-04",,12,12,,8,8,20,,,,2,,,,,,,,12.00,12.00,,6.00,,"6",0,6,18.00,,,,,,,,,,,,,,,,,,18.00,0.00
30856,101,6,189,2029,"101-189-2029-06","101-189-2029-05",,12,12,,6,6,18,,,,1,,,,,,,,12.00,12.00,,5.00,,"5",0,5,17.00,,,,,,,,,,,,,,,,,,17.00,0.00
30857,101,7,189,2029,"101-189-2029-07","101-189-2029-06",,12,12,,5,5,17,,,,1,,,,,,,,12.00,12.00,,4.00,,"4",0,4,16.00,,,,,,,,,,,,,,,,,,16.00,0.00
30858,101,8,189,2029,"101-189-2029-08","101-189-2029-07",,12,12,,4,4,16,,,,1,,,,,,,,12.00,12.00,,3.00,,"3",0,3,15.00,,,,,,,,,,,,,,,,,,15.00,0.00
30859,101,9,189,2029,"101-189-2029-09","101-189-2029-08",,12,12,,3,3,15,,,,1,,,,,,,,12.00,12.00,,2.00,,"2",0,2,14.00,,,,,,,,,,,,,,,,,,14.00,0.00
30860,101,10,189,2029,"101-189-2029-10","101-189-2029-09",,12,12,,2,2,14,,,,,,,,12,,,,0.00,0.00,,14.00,,"14",0,14,14.00,,,,,,,,,,,,,,,,,,14.00,0.00
30861,101,11,189,2029,"101-189-2029-11","101-189-2029-10",,0,0,,14,14,14,,,,1,,,,,,,,0.00,0.00,,13.00,,"13",0,13,13.00,,,,,,,,,,,,,,,,,,13.00,0.00
30862,101,12,189,2029,"101-189-2029-12","101-189-2029-11",,0,0,,13,13,13,,,,,,,,,,,,0.00,0.00,,13.00,,"13",0,13,13.00,,,,,,,,,,,,,,,,,,13.00,0.00
30863,101,1,189,2030,"101-189-2030-01","101-189-2029-12",,0,0,,13,13,13,,,,,,,,,,,,0.00,0.00,,13.00,,"13",0,13,13.00,,,,,,,,,,,,,,,,,,13.00,0.00
30864,101,2,189,2030,"101-189-2030-02","101-189-2030-01",,0,0,,13,13,13,,,,1,,,,,,,,0.00,0.00,,12.00,,"12",0,12,12.00,,,,,,,,,,,,,,,,,,12.00,0.00
30865,101,3,189,2030,"101-189-2030-03","101-189-2030-02",,0,0,,12,12,12,,,,1,,,,,,,,0.00,0.00,,11.00,,"11",0,11,11.00,,,,,,,,,,,,,,,,,,11.00,0.00
30866,101,4,189,2030,"101-189-2030-04","101-189-2030-03",,0,0,,11,11,11,,,,1,,,,,,,,0.00,0.00,,10.00,,"10",0,10,10.00,,,,,,,,,,,,,,,,,,10.00,0.00
30867,101,5,189,2030,"101-189-2030-05","101-189-2030-04",,0,0,,10,10,10,,,,2,,,,,,,,0.00,0.00,,8.00,,"8",0,8,8.00,,,,,,,,,,,,,,,,,,8.00,0.00
30868,101,6,189,2030,"101-189-2030-06","101-189-2030-05",,0,0,,8,8,8,,,,1,,,,,,,,0.00,0.00,,7.00,,"7",0,7,7.00,,,,,,,,,,,,,,,,,,7.00,0.00
30869,101,7,189,2030,"101-189-2030-07","101-189-2030-06",,0,0,,7,7,7,,,,1,,,,,,,,0.00,0.00,,6.00,,"6",0,6,6.00,,,,,,,,,,,,,,,,,,6.00,0.00
30870,101,8,189,2030,"101-189-2030-08","101-189-2030-07",,0,0,,6,6,6,,,,1,,,,,,,,0.00,0.00,,5.00,,"5",0,5,5.00,,,,,,,,,,,,,,,,,,5.00,0.00
30871,101,9,189,2030,"101-189-2030-09","101-189-2030-08",,0,0,,5,5,5,,,,1,,,,,,,,0.00,0.00,,4.00,,"4",0,4,4.00,,,,,,,,,,,,,,,,,,4.00,0.00
30872,101,10,189,2030,"101-189-2030-10","101-189-2030-09",,0,0,,4,4,4,,,,,,,,,,,,0.00,0.00,,4.00,,"4",0,4,4.00,,,,,,,,,,,,,,,,,,4.00,0.00
30873,101,11,189,2030,"101-189-2030-11","101-189-2030-10",,0,0,,4,4,4,,,,1,,,,,,,,0.00,0.00,,3.00,,"3",0,3,3.00,,,,,,,,,,,,,,,,,,3.00,0.00
30874,101,12,189,2030,"101-189-2030-12","101-189-2030-11",,0,0,,3,3,3,,,,,,,,,,,,0.00,0.00,,3.00,,"3",0,3,3.00,,,,,,,,,,,,,,,,,,3.00,0.00
30875,101,1,189,2031,"101-189-2031-01","101-189-2030-12",,0,0,,3,3,3,,,,,,,,,,,,0.00,0.00,,3.00,,"3",0,3,3.00,,,,,,,,,,,,,,,,,,3.00,0.00
30876,101,2,189,2031,"101-189-2031-02","101-189-2031-01",,0,0,,3,3,3,,,,,,,,,,,,0.00,0.00,,3.00,,"3",0,3,3.00,,,,,,,,,,,,,,,,,,3.00,0.00
