"xPYMid","SchoolDistrict","SchoolDistrictShort","SchoolDistrictQuality","County","Developer","Development","InternalExternal","InternalExternalShort","LotType","LotTypeShort","Builder","BuilderShort","xPJGid","Year","MonthNoMonthShort","MonthNo","Month","MonthShort","DirtStart","LotStart","LotStartSpec","LotStartLot","InventoryStart","SalesPlan","LotsDeveloped","LotsDevelopedToDate","LotsDevelopedFuture","LotsCurrent","SalesPlanLocked","SalesAct","SalesPlanVar","DirtEnd","LotsEnd","LotsEndSpec","LotsEndLot","InventoryEnd","ProjectionGroupStatus"
886,"Byron Center","BCTR","A","Kent","Redstone Land Development, llc","Arlington Park","Internal","INT","Single Family","SF","JTB Homes","JTB",1,2021,"7-Jul",7,"July","Jul",0,3,1.00,2.00,3,0.00,0.00,0,0,3.00,1.00,0.00,-1.00,0.00,3.00,1.00,2.00,3.00,"Sold Out"
511,"Byron Center","BCTR","A","Kent","Redstone Land Development, llc","Arlington Park","Internal","INT","Single Family","SF","Interra Homes","INT",1,2021,"7-Jul",7,"July","Jul",0,1,0.00,1.00,1,0.00,0.00,0,0,1.00,1.00,0.00,-1.00,0.00,1.00,0.00,1.00,1.00,"Sold Out"
887,"Byron Center","BCTR","A","Kent","Redstone Land Development, llc","Arlington Park","Internal","INT","Single Family","SF","JTB Homes","JTB",1,2021,"8-Aug",8,"August","Aug",0,1,1.00,0.00,1,1.00,0.00,0,0,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,"Sold Out"
512,"Byron Center","BCTR","A","Kent","Redstone Land Development, llc","Arlington Park","Internal","INT","Single Family","SF","Interra Homes","INT",1,2021,"8-Aug",8,"August","Aug",0,1,0.00,1.00,1,0.00,0.00,0,0,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,"Sold Out"
888,"Byron Center","BCTR","A","Kent","Redstone Land Development, llc","Arlington Park","Internal","INT","Single Family","SF","JTB Homes","JTB",1,2021,"9-Sep",9,"September","Sep",0,0,0.00,0.00,0,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Sold Out"
513,"Byron Center","BCTR","A","Kent","Redstone Land Development, llc","Arlington Park","Internal","INT","Single Family","SF","Interra Homes","INT",1,2021,"9-Sep",9,"September","Sep",0,1,0.00,1.00,1,0.00,0.00,0,0,1.00,1.00,0.00,-1.00,0.00,1.00,0.00,1.00,1.00,"Sold Out"
889,"Byron Center","BCTR","A","Kent","Redstone Land Development, llc","Arlington Park","Internal","INT","Single Family","SF","JTB Homes","JTB",1,2021,"10-Oct",10,"October","Oct",0,0,0.00,0.00,0,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Sold Out"
514,"Byron Center","BCTR","A","Kent","Redstone Land Development, llc","Arlington Park","Internal","INT","Single Family","SF","Interra Homes","INT",1,2021,"10-Oct",10,"October","Oct",0,1,0.00,1.00,1,0.00,0.00,0,0,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,"Sold Out"
890,"Byron Center","BCTR","A","Kent","Redstone Land Development, llc","Arlington Park","Internal","INT","Single Family","SF","JTB Homes","JTB",1,2021,"11-Nov",11,"November","Nov",0,0,0.00,0.00,0,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Sold Out"
515,"Byron Center","BCTR","A","Kent","Redstone Land Development, llc","Arlington Park","Internal","INT","Single Family","SF","Interra Homes","INT",1,2021,"11-Nov",11,"November","Nov",0,1,0.00,1.00,1,0.00,0.00,0,0,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,"Sold Out"
891,"Byron Center","BCTR","A","Kent","Redstone Land Development, llc","Arlington Park","Internal","INT","Single Family","SF","JTB Homes","JTB",1,2021,"12-Dec",12,"December","Dec",0,0,0.00,0.00,0,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Sold Out"
516,"Byron Center","BCTR","A","Kent","Redstone Land Development, llc","Arlington Park","Internal","INT","Single Family","SF","Interra Homes","INT",1,2021,"12-Dec",12,"December","Dec",0,1,0.00,1.00,1,0.00,0.00,0,0,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,"Sold Out"
7108,"Byron Center","BCTR","A","Kent","Redstone Land Development, llc","Arlington Park","Internal","INT","Single Family","SF","Interra Homes","INT",1,2022,"1-Jan",1,"January","Jan",0,1,0.00,1.00,1,0.00,0.00,0,0,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,"Sold Out"
7109,"Byron Center","BCTR","A","Kent","Redstone Land Development, llc","Arlington Park","Internal","INT","Single Family","SF","Interra Homes","INT",1,2022,"2-Feb",2,"February","Feb",0,1,0.00,1.00,1,0.00,0.00,0,0,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,"Sold Out"
7117,"Byron Center","BCTR","A","Kent","Redstone Land Development, llc","Arlington Park","Internal","INT","Single Family","SF","Interra Homes","INT",1,2022,"3-Mar",3,"March","Mar",0,1,0.00,1.00,1,0.00,0.00,0,0,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,"Sold Out"
7110,"Byron Center","BCTR","A","Kent","Redstone Land Development, llc","Arlington Park","Internal","INT","Single Family","SF","Interra Homes","INT",1,2022,"4-Apr",4,"April","Apr",0,1,0.00,1.00,1,0.00,0.00,0,0,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,"Sold Out"
7106,"Byron Center","BCTR","A","Kent","Redstone Land Development, llc","Arlington Park","Internal","INT","Single Family","SF","Interra Homes","INT",1,2022,"5-May",5,"May","May",0,1,0.00,1.00,1,0.00,0.00,0,0,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,"Sold Out"
7111,"Byron Center","BCTR","A","Kent","Redstone Land Development, llc","Arlington Park","Internal","INT","Single Family","SF","Interra Homes","INT",1,2022,"6-Jun",6,"June","Jun",0,1,0.00,1.00,1,0.00,0.00,0,0,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,"Sold Out"
7112,"Byron Center","BCTR","A","Kent","Redstone Land Development, llc","Arlington Park","Internal","INT","Single Family","SF","Interra Homes","INT",1,2022,"7-Jul",7,"July","Jul",0,1,0.00,1.00,1,0.00,0.00,0,0,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,"Sold Out"
7113,"Byron Center","BCTR","A","Kent","Redstone Land Development, llc","Arlington Park","Internal","INT","Single Family","SF","Interra Homes","INT",1,2022,"8-Aug",8,"August","Aug",0,1,0.00,1.00,1,0.00,0.00,0,0,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,"Sold Out"
7114,"Byron Center","BCTR","A","Kent","Redstone Land Development, llc","Arlington Park","Internal","INT","Single Family","SF","Interra Homes","INT",1,2022,"9-Sep",9,"September","Sep",0,1,0.00,1.00,1,0.00,0.00,0,0,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,"Sold Out"
7115,"Byron Center","BCTR","A","Kent","Redstone Land Development, llc","Arlington Park","Internal","INT","Single Family","SF","Interra Homes","INT",1,2022,"10-Oct",10,"October","Oct",0,1,0.00,1.00,1,0.00,0.00,0,0,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,"Sold Out"
7116,"Byron Center","BCTR","A","Kent","Redstone Land Development, llc","Arlington Park","Internal","INT","Single Family","SF","Interra Homes","INT",1,2022,"11-Nov",11,"November","Nov",0,1,0.00,1.00,1,0.00,0.00,0,0,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,"Sold Out"
7107,"Byron Center","BCTR","A","Kent","Redstone Land Development, llc","Arlington Park","Internal","INT","Single Family","SF","Interra Homes","INT",1,2022,"12-Dec",12,"December","Dec",0,1,0.00,1.00,1,0.00,0.00,0,0,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,"Sold Out"
7120,"Byron Center","BCTR","A","Kent","Redstone Land Development, llc","Arlington Park","Internal","INT","Single Family","SF","Interra Homes","INT",1,2023,"1-Jan",1,"January","Jan",0,1,0.00,1.00,1,0.00,0.00,0,0,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,"Sold Out"
7121,"Byron Center","BCTR","A","Kent","Redstone Land Development, llc","Arlington Park","Internal","INT","Single Family","SF","Interra Homes","INT",1,2023,"2-Feb",2,"February","Feb",0,1,0.00,1.00,1,0.00,0.00,0,0,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,"Sold Out"
7129,"Byron Center","BCTR","A","Kent","Redstone Land Development, llc","Arlington Park","Internal","INT","Single Family","SF","Interra Homes","INT",1,2023,"3-Mar",3,"March","Mar",0,1,1.00,0.00,1,0.00,0.00,0,0,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,"Sold Out"
7122,"Byron Center","BCTR","A","Kent","Redstone Land Development, llc","Arlington Park","Internal","INT","Single Family","SF","Interra Homes","INT",1,2023,"4-Apr",4,"April","Apr",0,1,1.00,0.00,1,0.00,0.00,0,0,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,"Sold Out"
7118,"Byron Center","BCTR","A","Kent","Redstone Land Development, llc","Arlington Park","Internal","INT","Single Family","SF","Interra Homes","INT",1,2023,"5-May",5,"May","May",0,1,1.00,0.00,1,1.00,0.00,0,0,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,"Sold Out"
7123,"Byron Center","BCTR","A","Kent","Redstone Land Development, llc","Arlington Park","Internal","INT","Single Family","SF","Interra Homes","INT",1,2023,"6-Jun",6,"June","Jun",0,0,0.00,0.00,0,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Sold Out"
7124,"Byron Center","BCTR","A","Kent","Redstone Land Development, llc","Arlington Park","Internal","INT","Single Family","SF","Interra Homes","INT",1,2023,"7-Jul",7,"July","Jul",0,0,0.00,0.00,0,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Sold Out"
7125,"Byron Center","BCTR","A","Kent","Redstone Land Development, llc","Arlington Park","Internal","INT","Single Family","SF","Interra Homes","INT",1,2023,"8-Aug",8,"August","Aug",0,0,0.00,0.00,0,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Sold Out"
7126,"Byron Center","BCTR","A","Kent","Redstone Land Development, llc","Arlington Park","Internal","INT","Single Family","SF","Interra Homes","INT",1,2023,"9-Sep",9,"September","Sep",0,0,0.00,0.00,0,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Sold Out"
7127,"Byron Center","BCTR","A","Kent","Redstone Land Development, llc","Arlington Park","Internal","INT","Single Family","SF","Interra Homes","INT",1,2023,"10-Oct",10,"October","Oct",0,0,0.00,0.00,0,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Sold Out"
7128,"Byron Center","BCTR","A","Kent","Redstone Land Development, llc","Arlington Park","Internal","INT","Single Family","SF","Interra Homes","INT",1,2023,"11-Nov",11,"November","Nov",0,0,0.00,0.00,0,0.00,0.00,0,0,0.00,1.00,0.00,-1.00,0.00,0.00,0.00,0.00,0.00,"Sold Out"
7119,"Byron Center","BCTR","A","Kent","Redstone Land Development, llc","Arlington Park","Internal","INT","Single Family","SF","Interra Homes","INT",1,2023,"12-Dec",12,"December","Dec",0,0,0.00,0.00,0,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Sold Out"
892,"Forest Hills","FORE","A","Kent","Blackhawk Group - 4065, LLC","Blackhawk","External","EXT","Single Family","SF","JTB Homes","JTB",2,2021,"1-Jan",1,"January","Jan",0,26,2.00,24.00,26,1.00,0.00,0,0,25.00,0.00,1.00,1.00,0.00,25.00,3.00,22.00,25.00,"Sold Out"
893,"Forest Hills","FORE","A","Kent","Blackhawk Group - 4065, LLC","Blackhawk","External","EXT","Single Family","SF","JTB Homes","JTB",2,2021,"2-Feb",2,"February","Feb",0,25,3.00,22.00,25,0.00,0.00,0,0,25.00,1.00,0.00,-1.00,0.00,25.00,3.00,22.00,25.00,"Sold Out"
894,"Forest Hills","FORE","A","Kent","Blackhawk Group - 4065, LLC","Blackhawk","External","EXT","Single Family","SF","JTB Homes","JTB",2,2021,"3-Mar",3,"March","Mar",0,25,3.00,22.00,25,1.00,0.00,0,0,24.00,1.00,1.00,0.00,0.00,24.00,3.00,21.00,24.00,"Sold Out"
895,"Forest Hills","FORE","A","Kent","Blackhawk Group - 4065, LLC","Blackhawk","External","EXT","Single Family","SF","JTB Homes","JTB",2,2021,"4-Apr",4,"April","Apr",0,24,3.00,21.00,24,2.00,0.00,0,0,22.00,1.00,2.00,1.00,0.00,22.00,4.00,18.00,22.00,"Sold Out"
896,"Forest Hills","FORE","A","Kent","Blackhawk Group - 4065, LLC","Blackhawk","External","EXT","Single Family","SF","JTB Homes","JTB",2,2021,"5-May",5,"May","May",0,22,4.00,18.00,22,0.00,0.00,0,0,22.00,1.00,0.00,-1.00,0.00,22.00,4.00,18.00,22.00,"Sold Out"
897,"Forest Hills","FORE","A","Kent","Blackhawk Group - 4065, LLC","Blackhawk","External","EXT","Single Family","SF","JTB Homes","JTB",2,2021,"6-Jun",6,"June","Jun",0,22,4.00,18.00,22,0.00,0.00,0,0,22.00,1.00,0.00,-1.00,0.00,22.00,5.00,17.00,22.00,"Sold Out"
898,"Forest Hills","FORE","A","Kent","Blackhawk Group - 4065, LLC","Blackhawk","External","EXT","Single Family","SF","JTB Homes","JTB",2,2021,"7-Jul",7,"July","Jul",0,22,5.00,17.00,22,0.00,0.00,0,0,22.00,1.00,0.00,-1.00,0.00,22.00,5.00,17.00,22.00,"Sold Out"
899,"Forest Hills","FORE","A","Kent","Blackhawk Group - 4065, LLC","Blackhawk","External","EXT","Single Family","SF","JTB Homes","JTB",2,2021,"8-Aug",8,"August","Aug",0,22,5.00,17.00,22,0.00,0.00,0,0,22.00,1.00,0.00,-1.00,0.00,22.00,5.00,17.00,22.00,"Sold Out"
900,"Forest Hills","FORE","A","Kent","Blackhawk Group - 4065, LLC","Blackhawk","External","EXT","Single Family","SF","JTB Homes","JTB",2,2021,"9-Sep",9,"September","Sep",0,22,5.00,17.00,22,0.00,0.00,0,0,22.00,1.00,0.00,-1.00,0.00,22.00,6.00,16.00,22.00,"Sold Out"
901,"Forest Hills","FORE","A","Kent","Blackhawk Group - 4065, LLC","Blackhawk","External","EXT","Single Family","SF","JTB Homes","JTB",2,2021,"10-Oct",10,"October","Oct",0,22,6.00,16.00,22,2.00,0.00,0,0,20.00,1.00,2.00,1.00,0.00,20.00,4.00,16.00,20.00,"Sold Out"
902,"Forest Hills","FORE","A","Kent","Blackhawk Group - 4065, LLC","Blackhawk","External","EXT","Single Family","SF","JTB Homes","JTB",2,2021,"11-Nov",11,"November","Nov",0,20,4.00,16.00,20,1.00,0.00,0,0,19.00,1.00,1.00,0.00,0.00,19.00,5.00,14.00,19.00,"Sold Out"
903,"Forest Hills","FORE","A","Kent","Blackhawk Group - 4065, LLC","Blackhawk","External","EXT","Single Family","SF","JTB Homes","JTB",2,2021,"12-Dec",12,"December","Dec",0,19,5.00,14.00,19,2.00,0.00,0,0,17.00,1.00,2.00,1.00,0.00,17.00,4.00,13.00,17.00,"Sold Out"
1336,"Forest Hills","FORE","A","Kent","Blackhawk Group - 4065, LLC","Blackhawk","External","EXT","Single Family","SF","JTB Homes","JTB",2,2022,"1-Jan",1,"January","Jan",0,17,4.00,13.00,17,2.00,0.00,0,0,15.00,0.00,2.00,2.00,0.00,15.00,2.00,13.00,15.00,"Sold Out"
1337,"Forest Hills","FORE","A","Kent","Blackhawk Group - 4065, LLC","Blackhawk","External","EXT","Single Family","SF","JTB Homes","JTB",2,2022,"2-Feb",2,"February","Feb",0,15,3.00,12.00,15,1.00,0.00,0,0,14.00,0.00,1.00,1.00,0.00,14.00,3.00,11.00,14.00,"Sold Out"
1338,"Forest Hills","FORE","A","Kent","Blackhawk Group - 4065, LLC","Blackhawk","External","EXT","Single Family","SF","JTB Homes","JTB",2,2022,"3-Mar",3,"March","Mar",0,14,3.00,11.00,14,1.00,0.00,0,0,13.00,0.00,1.00,1.00,0.00,13.00,3.00,10.00,13.00,"Sold Out"
1339,"Forest Hills","FORE","A","Kent","Blackhawk Group - 4065, LLC","Blackhawk","External","EXT","Single Family","SF","JTB Homes","JTB",2,2022,"4-Apr",4,"April","Apr",0,13,3.00,10.00,13,2.00,0.00,0,0,11.00,0.00,2.00,2.00,0.00,11.00,3.00,8.00,11.00,"Sold Out"
1340,"Forest Hills","FORE","A","Kent","Blackhawk Group - 4065, LLC","Blackhawk","External","EXT","Single Family","SF","JTB Homes","JTB",2,2022,"5-May",5,"May","May",0,11,3.00,8.00,11,1.00,0.00,0,0,10.00,0.00,1.00,1.00,0.00,10.00,3.00,7.00,10.00,"Sold Out"
1341,"Forest Hills","FORE","A","Kent","Blackhawk Group - 4065, LLC","Blackhawk","External","EXT","Single Family","SF","JTB Homes","JTB",2,2022,"6-Jun",6,"June","Jun",0,10,3.00,7.00,10,2.00,0.00,0,0,8.00,0.00,2.00,2.00,0.00,8.00,2.00,6.00,8.00,"Sold Out"
1342,"Forest Hills","FORE","A","Kent","Blackhawk Group - 4065, LLC","Blackhawk","External","EXT","Single Family","SF","JTB Homes","JTB",2,2022,"7-Jul",7,"July","Jul",0,8,1.00,7.00,8,1.00,0.00,0,0,7.00,0.00,1.00,1.00,0.00,7.00,0.00,7.00,7.00,"Sold Out"
1343,"Forest Hills","FORE","A","Kent","Blackhawk Group - 4065, LLC","Blackhawk","External","EXT","Single Family","SF","JTB Homes","JTB",2,2022,"8-Aug",8,"August","Aug",0,7,0.00,7.00,7,0.00,0.00,0,0,7.00,0.00,0.00,0.00,0.00,7.00,1.00,6.00,7.00,"Sold Out"
1344,"Forest Hills","FORE","A","Kent","Blackhawk Group - 4065, LLC","Blackhawk","External","EXT","Single Family","SF","JTB Homes","JTB",2,2022,"9-Sep",9,"September","Sep",0,7,1.00,6.00,7,0.00,0.00,0,0,7.00,0.00,0.00,0.00,0.00,7.00,1.00,6.00,7.00,"Sold Out"
1345,"Forest Hills","FORE","A","Kent","Blackhawk Group - 4065, LLC","Blackhawk","External","EXT","Single Family","SF","JTB Homes","JTB",2,2022,"10-Oct",10,"October","Oct",0,7,1.00,6.00,7,0.00,0.00,0,0,7.00,0.00,0.00,0.00,0.00,7.00,3.00,4.00,7.00,"Sold Out"
1346,"Forest Hills","FORE","A","Kent","Blackhawk Group - 4065, LLC","Blackhawk","External","EXT","Single Family","SF","JTB Homes","JTB",2,2022,"11-Nov",11,"November","Nov",0,7,3.00,4.00,7,1.00,0.00,0,0,6.00,0.00,1.00,1.00,0.00,6.00,3.00,3.00,6.00,"Sold Out"
1347,"Forest Hills","FORE","A","Kent","Blackhawk Group - 4065, LLC","Blackhawk","External","EXT","Single Family","SF","JTB Homes","JTB",2,2022,"12-Dec",12,"December","Dec",0,6,3.00,3.00,6,0.00,0.00,0,0,6.00,0.00,0.00,0.00,0.00,6.00,3.00,3.00,6.00,"Sold Out"
1912,"Forest Hills","FORE","A","Kent","Blackhawk Group - 4065, LLC","Blackhawk","External","EXT","Single Family","SF","JTB Homes","JTB",2,2023,"1-Jan",1,"January","Jan",0,6,3.00,3.00,6,0.00,0.00,0,0,6.00,0.00,0.00,0.00,0.00,6.00,4.00,2.00,6.00,"Sold Out"
2488,"Forest Hills","FORE","A","Kent","Blackhawk Group - 4065, LLC","Blackhawk","External","EXT","Single Family","SF","JTB Homes","JTB",2,2023,"2-Feb",2,"February","Feb",0,6,4.00,2.00,6,2.00,0.00,0,0,4.00,0.00,2.00,2.00,0.00,4.00,2.00,2.00,4.00,"Sold Out"
2487,"Forest Hills","FORE","A","Kent","Blackhawk Group - 4065, LLC","Blackhawk","External","EXT","Single Family","SF","JTB Homes","JTB",2,2023,"3-Mar",3,"March","Mar",0,4,2.00,2.00,4,3.00,0.00,0,0,1.00,1.00,3.00,2.00,0.00,1.00,0.00,1.00,1.00,"Sold Out"
2486,"Forest Hills","FORE","A","Kent","Blackhawk Group - 4065, LLC","Blackhawk","External","EXT","Single Family","SF","JTB Homes","JTB",2,2023,"4-Apr",4,"April","Apr",0,1,0.00,1.00,1,1.00,0.00,0,0,0.00,2.00,1.00,-1.00,0.00,0.00,0.00,0.00,0.00,"Sold Out"
2485,"Forest Hills","FORE","A","Kent","Blackhawk Group - 4065, LLC","Blackhawk","External","EXT","Single Family","SF","JTB Homes","JTB",2,2023,"5-May",5,"May","May",0,0,0.00,0.00,0,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Sold Out"
2484,"Forest Hills","FORE","A","Kent","Blackhawk Group - 4065, LLC","Blackhawk","External","EXT","Single Family","SF","JTB Homes","JTB",2,2023,"6-Jun",6,"June","Jun",0,0,0.00,0.00,0,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Sold Out"
2483,"Forest Hills","FORE","A","Kent","Blackhawk Group - 4065, LLC","Blackhawk","External","EXT","Single Family","SF","JTB Homes","JTB",2,2023,"7-Jul",7,"July","Jul",0,0,0.00,0.00,0,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Sold Out"
2479,"Forest Hills","FORE","A","Kent","Blackhawk Group - 4065, LLC","Blackhawk","External","EXT","Single Family","SF","JTB Homes","JTB",2,2023,"8-Aug",8,"August","Aug",0,0,0.00,0.00,0,0.00,0.00,0,0,0.00,1.00,0.00,-1.00,0.00,0.00,0.00,0.00,0.00,"Sold Out"
2482,"Forest Hills","FORE","A","Kent","Blackhawk Group - 4065, LLC","Blackhawk","External","EXT","Single Family","SF","JTB Homes","JTB",2,2023,"9-Sep",9,"September","Sep",0,0,0.00,0.00,0,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Sold Out"
2490,"Forest Hills","FORE","A","Kent","Blackhawk Group - 4065, LLC","Blackhawk","External","EXT","Single Family","SF","JTB Homes","JTB",2,2023,"10-Oct",10,"October","Oct",0,0,0.00,0.00,0,0.00,0.00,0,0,0.00,1.00,0.00,-1.00,0.00,0.00,0.00,0.00,0.00,"Sold Out"
2481,"Forest Hills","FORE","A","Kent","Blackhawk Group - 4065, LLC","Blackhawk","External","EXT","Single Family","SF","JTB Homes","JTB",2,2023,"11-Nov",11,"November","Nov",0,0,0.00,0.00,0,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Sold Out"
2480,"Forest Hills","FORE","A","Kent","Blackhawk Group - 4065, LLC","Blackhawk","External","EXT","Single Family","SF","JTB Homes","JTB",2,2023,"12-Dec",12,"December","Dec",0,0,0.00,0.00,0,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Sold Out"
7529,"Caledonia","CALE","A","Kent","Broadmoor Investors, LLC","Graymoor","Internal","INT","Single Family","SF","JTB Homes","JTB",3,2018,"1-Jan",1,"January","Jan",59,0,0.00,0.00,59,0.00,0.00,0,0,0.00,0.00,0.00,0.00,59.00,0.00,0.00,0.00,59.00,"Active"
