"COMPANYCODE","DEVELOPMENTCODE","LOTNUMBER","TAXBLOCK","TAXLOT","ADDRESS1","ADDRESS2","ADDRESS3","LOTCONTRACTDATE","LOTCONVERDATE","RELEASESALESDATE","LOTCOMMENTS","SELLERNAME","SELLERADDRESS1","SELLERADDRESS2","SELLERCITY","SELLERSTATE","SELLERZIP","SELLERCOUNTRY","SELLERPHONE","SELLEREMAIL","OPTIONEXPDATE","ORIENTATION","LOTPREMIUM","MISC1_FIELD","MISC2_FIELD"
"001","43","00000043","","43","3275 Lapham Ct","Rockford, MI","49341",,5/8/2023 0:00:00,9/10/2021 0:00:00,"","","","","","","","US","","",," ","38100","",""
"001","AA","00000001","","1","9155 Alaska Ave","Caledonia, MI","49316",,6/13/2024 0:00:00,6/12/2024 0:00:00,"","","","","","","","US","","",," ","120000","",""
"001","AA","00000002","","2","9197 Alaska Ave","Caledonia, MI","49316",,3/14/2025 0:00:00,6/12/2024 0:00:00,"","","","","","","","US","","",," ","120000","",""
"001","AA","00000003","","3","9233 Alaska Ave","Caledonia, MI","49316",,1/5/2026 0:00:00,6/12/2024 0:00:00,"","","","","","","","US","","",," ","120000","",""
"001","AA","00000004","","4","9251 Alaska Ave","Caledonia, MI","49316",,,6/12/2024 0:00:00,"","","","","","","","US","","",," ","120000","",""
"001","AA","00000005","","5","9285 Alaska Ave","Caledonia, MI","49316",,,6/12/2024 0:00:00,"","","","","","","","US","","",," ","120000","",""
"001","AA","00000101","","101","9450 Alaska Ave","Caledonia, MI","49316",,10/29/2025 0:00:00,6/12/2024 0:00:00,"","","","","","","","US","","",," ","67000","",""
"001","AA","00000102","","102","9472 Alaska Ave","Caledonia, MI","49316",,10/30/2025 0:00:00,6/12/2024 0:00:00,"","","","","","","","US","","",," ","67000","",""
"001","AA","00000103","","103","9520 Alaska Ave","Caledonia, MI","49316",,9/11/2024 0:00:00,6/12/2024 0:00:00,"","","","","","","","US","","",," ","55000","",""
"001","AA","00000104","","104","7649 96th St","Caledonia, MI","49316",,6/13/2024 0:00:00,6/12/2024 0:00:00,"","","","","","","","US","","",," ","55000","",""
"001","AA","00000105","","105","7711 95th St","Caledonia, MI","49316",,7/16/2024 0:00:00,6/12/2024 0:00:00,"","","","","","","","US","","",," ","65000","",""
"001","AA","00000106","","106","7735 96th St","Caledonia, MI","49316",,6/23/2025 0:00:00,6/12/2024 0:00:00,"","","","","","","","US","","",," ","45000","",""
"001","AA","00000107","","107","7769 96th St","Caledonia, MI","49316",,8/29/2025 0:00:00,6/12/2024 0:00:00,"","","","","","","","US","","",," ","45000","",""
"001","AE","00000019","","19","6596 Alward Dr.","Hudsonville","Ottawa",,4/19/2017 0:00:00,3/20/2017 0:00:00,"","","","","","","","US","","",,"R","0","",""
"001","AE","00000022","","22","6552 Alward Dr","Hudsonville, Mi","49426",,11/29/2017 0:00:00,9/10/2021 0:00:00,"","","","","","","","US","","",,"","0","",""
"001","AE","00000025","","25","6518 Alward Dr.","Hudsonville","Ottawa",,3/2/2017 0:00:00,3/20/2017 0:00:00,"","","","","","","","US","","",,"R","0","",""
"001","AE","00000027","","27","6502 Alward Dr.","Hudsonville","Ottawa",,6/6/2017 0:00:00,3/20/2017 0:00:00,"DL/WO","","","","","","","US","","",,"R","0","",""
"001","AE","00000035","","35","3824 Winsome Dr","Hudsonville","Ottawa",,1/31/2018 0:00:00,3/20/2017 0:00:00,"Phase II    DL","","","","","","","US","","",," ","0","",""
"001","AE","00000036","","","6425 Maria Dr","Hudsonville","Ottawa",,2/21/2017 0:00:00,3/20/2017 0:00:00,"Phase II","","","","","","","US","","",," ","0","",""
"001","AE","00000037","","37","6464 Maria Dr","Hudsonville, Mi","49426",,1/9/2018 0:00:00,1/9/2018 0:00:00,"70-14-20-370-007","","","","","","","US","","",," ","0","",""
"001","AE","00000043","","43","6544 Alward DR","Hudsonville","Ottawa",,3/17/2017 0:00:00,3/20/2017 0:00:00,"","","","","","","","US","","",," ","0","",""
"001","AE","00000044","","44","6556 Maria Dr","Hudsonville","Ottawa",,5/17/2017 0:00:00,3/20/2017 0:00:00,"Phase II     WO","","","","","","","US","","",," ","0","",""
"001","AE","00000045","","","6570 Maria Dr","Hudsonville","Ottawa",,3/20/2017 0:00:00,3/20/2017 0:00:00,"Phase II","","","","","","","US","","",," ","0","",""
"001","AE","00000046","","46","6571 Maria Dr","Hudsonville, Mi","49426",,4/17/2018 0:00:00,4/11/2018 0:00:00,"70-14-20-371-010","","","","","","","US","","",," ","0","",""
"001","AE","00000049","","49","6531 Maria Dr","Hudsonville","Ottawa",,7/17/2017 0:00:00,3/20/2017 0:00:00,"Phase II    WO","","","","","","","US","","",," ","0","",""
"001","AE","00000050","","50","6521 Maria Dr","Hudsonville","Ottawa",,7/26/2017 0:00:00,3/20/2017 0:00:00,"Phase II    WO","","","","","","","US","","",," ","0","",""
"001","AE","00000051","","51","6507 Maria Dr","Hudsonville","Ottawa",,7/26/2017 0:00:00,3/20/2017 0:00:00,"Phase II     WO","","","","","","","US","","",," ","0","",""
"001","AE","00000053","","51","6481 Maria Dr","Hudsonville, Mi","49426",,4/2/2018 0:00:00,2/19/2018 0:00:00,"70-14-20-371-003","","","","","","","US","","",," ","0","",""
"001","AE","00000055","","55","3857 Winsome Dr","Hudsonville, Mi","49426",,9/5/2017 0:00:00,9/5/2017 0:00:00,"70-14-20-371-001","","","","","","","US","","",," ","0","",""
"001","AE","00000073","","73","6690 Alward Dr","Hudsonville, MI","49426",,,11/13/2019 0:00:00,"","","","","","","","US","","",," ","0","",""
"001","AE","00000074","","74","6676 Alward Dr","Hudsonville, Mi","49426",,8/1/2019 0:00:00,7/22/2019 0:00:00,"70-14-20-303-007","","","","","","","US","","",," ","0","",""
"001","AE","00000080","","80","6583 Arlene Dr","Hudsonville, Mi","49426",,9/24/2018 0:00:00,7/20/2018 0:00:00,"","","","","","","","US","","",," ","0","",""
"001","AE","00000081","","81","Arlene Dr","Hudsonville, MI","49426",,8/7/2018 0:00:00,7/20/2018 0:00:00,"","","","","","","","US","","",," ","0","",""
"001","AE","00000082","","82","6557 Arlene Dr","Hudsonville, MI","49426",,10/16/2019 0:00:00,10/16/2019 0:00:00,"70-14-20-357-004","","","","","","","US","","",," ","0","",""
"001","AE","00000083","","83","6553 Arlene Dr","Hudsonville, Mi","49426",,3/11/2019 0:00:00,3/11/2019 0:00:00,"70-14-20-357-005","","","","","","","US","","",," ","0","",""
"001","AE","00000084","","84","6543 Arlene Dr","Hudsonville, Mi","49426",,5/6/2019 0:00:00,4/26/2019 0:00:00,"70-14-20-357-006","","","","","","","US","","",," ","0","",""
"001","AE","00000085","","85","6546 Arlene DR","Hudsonville, MI","49426",,2/13/2019 0:00:00,2/13/2019 0:00:00,"","","","","","","","US","","",," ","0","",""
"001","AE","00000086","","86","6552  Arlene Dr","Hudsonville, MI","49426",,3/10/2020 0:00:00,1/10/2020 0:00:00,"","","","","","","","US","","",," ","0","",""
"001","AE","00000087","","87","6560 Arlene Dr","Hudsonville, MI","49426",,1/23/2019 0:00:00,1/23/2019 0:00:00,"","","","","","","","US","","",," ","0","",""
"001","AE","00000088","","88","0 Arlene Dr","Hudsonville, Mi","49426",,,7/20/2018 0:00:00,"","","","","","","","US","","",," ","0","",""
"001","AE","00000089","","89","6594 Arlene Dr","Hudsonville, Mi","49426",,5/8/2019 0:00:00,3/13/2019 0:00:00,"70-14-20-357-011","","","","","","","US","","",," ","0","",""
"001","AE","00000090","","90","Maria Dr","Hudsonville, MI","49426",,8/8/2018 0:00:00,8/7/2018 0:00:00,"","","","","","","","US","","",," ","0","",""
"001","AE","00000091","","91","6582 Maria","Hudsonville, Mi","49426",,10/25/2022 0:00:00,11/19/2021 0:00:00,"","","","","","","","US","","",," ","38500","",""
"001","AE","00000097","","97","","Hudsonville, Mi","49426",,,6/16/2020 0:00:00,"","","","","","","","US","","",," ","0","",""
"001","AE","00000098","","98","6660 Arlene","Hudsonville, Mi","49426",,8/13/2020 0:00:00,6/16/2020 0:00:00,"","","","","","","","US","","",," ","0","",""
"001","AE","00000100","","100","6688 Arlene","Hudsonville, Mi","49426",,11/22/2020 0:00:00,10/20/2020 0:00:00,"","","","","","","","US","","",," ","0","",""
"001","AE","00000101","","101","","","",,,9/10/2021 0:00:00,"","","","","","","","US","","",," ","0","",""
"001","AE","00000102","","102","6716 Arlene Dr","Hudsonville, Mi","49426",,2/4/2021 0:00:00,12/4/2020 0:00:00,"","","","","","","","US","","",," ","0","",""
"001","AE","00000103","","103","","","",,,9/10/2021 0:00:00,"","","","","","","","US","","",," ","0","",""
"001","AE","00000105","","105","","","",,,9/10/2021 0:00:00,"","","","","","","","US","","",," ","0","",""
"001","AE","00000106","","106","","","",,,,"","","","","","","","US","","",," ","0","",""
"001","AE","00000107","","107","","Hudsonville, MI","49426",,,5/29/2020 0:00:00,"","","","","","","","US","","",," ","0","",""
"001","AE","00000111","","111","3779 Delia","Hudsonville, MI","49426",,8/4/2020 0:00:00,6/1/2020 0:00:00,"","","","","","","","US","","",," ","0","",""
"001","AE","00000117","","117","3851 Delia Dr","Hudsonville, Mi","49426",,,6/3/2022 0:00:00,"","","","","","","","US","","",," ","0","",""
"001","AE","00000118","","118","","","",,,10/19/2021 0:00:00,"","","","","","","","US","","",," ","0","",""
"001","AE","00000119","","119","3877 Delia Dr","Hudsonville, Mi","49426",,1/28/2021 0:00:00,12/10/2020 0:00:00,"70-14-20-306-003","","","","","","","US","","",," ","0","",""
"001","AE","00000120","","120","","","",,,,"","","","","","","","US","","",," ","0","",""
"001","AE","00000122","","122","","Hudsonville, Mi","49426",,9/25/2020 0:00:00,8/17/2020 0:00:00,"","","","","","","","US","","",," ","0","",""
"001","AE","00000123","","123","","","",,,9/10/2021 0:00:00,"","","","","","","","US","","",," ","0","",""
"001","AE","00000124","","124","6741 Arlene DR","Hudsonville, Mi","49426",,4/27/2021 0:00:00,2/16/2021 0:00:00,"","","","","","","","US","","",," ","0","",""
"001","AE","00000125","","125","","Hudsonville, Mi","49426",,,6/16/2020 0:00:00,"","","","","","","","US","","",," ","0","",""
"001","AE","00000126","","126","6715 Arlene Dr","Hudsonville, mi","49426",,8/10/2020 0:00:00,6/16/2020 0:00:00,"","","","","","","","US","","",," ","0","",""
"001","AE","00000127","","127","","","",,,,"","","","","","","","US","","",," ","0","",""
"001","AE","00000128","","128","","","",,,9/10/2021 0:00:00,"","","","","","","","US","","",," ","0","",""
"001","AE","00000129","","129","","","",,,,"","","","","","","","US","","",," ","0","",""
"001","AE","00000130","","130","","","",,,9/10/2021 0:00:00,"","","","","","","","US","","",," ","0","",""
"001","AE","00000131","","131","","","",,,,"","","","","","","","US","","",," ","0","",""
"001","AE","00000133","","133","6733 Maria Drive","Hudsonville, MI","49426",,,1/21/2022 0:00:00,"","","","","","","","US","","",," ","0","",""
"001","AE","00000134","","134","6721 Maria Drive","Hudsonville, MI","49426",,,1/21/2022 0:00:00,"","","","","","","","US","","",," ","0","",""
"001","AE","00000135","","135","6709 Maria Drive","Hudsonville, MI","49426",,1/28/2022 0:00:00,1/21/2022 0:00:00,"","","","","","","","US","","",," ","0","",""
"001","AE","00000136","","136","6695 Maria Drive","Hudsonville, MI","49426",,,1/21/2022 0:00:00,"Enclave C Floor Plan- Interra Homes (our sister brand)","","","","","","","US","","",," ","7500","",""
"001","AE","00000137","","137","","Hudsonville, Mi","49426",,1/3/2022 0:00:00,12/29/2021 0:00:00,"","","","","","","","US","","",,"","7500","",""
"001","AE","00000138","","138","6673 Maria Drive","Hudsonville, MI","49426",,,9/8/2022 0:00:00,"Avery A Floor Plan- Interra Homes (our sister brand)","","","","","","","US","","",," ","9500","",""
"001","AE","00000139","","139","6657 Maria Drive","Hudsonville, MI","49426",,3/29/2023 0:00:00,9/8/2022 0:00:00,"","","","","","","","US","","",,"","9500","",""
"001","AE","00000140","","140","6645 Maria Drive","Hudsonville, MI","49426",,,1/21/2022 0:00:00,"","","","","","","","US","","",,"","5500","",""
"001","AE","00000141","","141","6631 Maria Drive","Hudsonville, MI","49426",,,1/21/2022 0:00:00,"","","","","","","","US","","",," ","0","",""
"001","AE","00000142","","142","6624 Maria Drive","Hudsonville, MI","49426",,2/15/2023 0:00:00,1/21/2022 0:00:00,"","","","","","","","US","","",,"","38500","",""
"001","AE","00000144","","144","6648 Maria Drive","Hudsonville, MI","49426",,10/10/2022 0:00:00,1/21/2022 0:00:00,"","","","","","","","US","","",,"","32500","",""
"001","AE","00000149","","149","6714 Maria Drive","Hudsonville, MI","49426",,,1/21/2022 0:00:00,"","","","","","","","US","","",," ","0","",""
"001","AE","00000150","","150","6726 Maria Drive","Hudsonville, MI","49426",,,1/21/2022 0:00:00,"","","","","","","","US","","",,"","9500","",""
"001","AE","00000152","","152","6743 Delia Drive","Hudsonville, MI","49426",,2/21/2022 0:00:00,2/18/2022 0:00:00,"","","","","","","","US","","",," ","0","",""
"001","AE","00000153","","153","6735 Delia Drive","Hudsonville, MI","49426",,5/12/2022 0:00:00,1/21/2022 0:00:00,"","","","","","","","US","","",,"","12500","",""
"001","AE","00000158","","158","6667 Delia Dr","Hudsonville, MI","49426",,6/28/2023 0:00:00,6/23/2023 0:00:00,"","","","","","","","US","","",," ","34500","",""
"001","AE","00000160","","160","6653 Delia Drive","Hudsonville, MI","49426",,11/14/2022 0:00:00,1/21/2022 0:00:00,"","","","","","","","US","","",,"","40500","",""
"001","AE","00000162","","162","6656 Delia Drive","Hudsonville, MI","49426",,1/27/2022 0:00:00,1/21/2022 0:00:00,"","","","","","","","US","","",," ","0","",""
"001","AE","00000163","","163","6668 Delia Drive","Hudsonville, MI","49426",,1/27/2022 0:00:00,1/21/2022 0:00:00,"","","","","","","","US","","",," ","0","",""
"001","AE","00000164","","164","6678 Delia Drive","Hudsonville, MI","49426",,3/24/2022 0:00:00,1/21/2022 0:00:00,"","","","","","","","US","","",," ","0","",""
"001","AE","00000165","","165","6684 Delia Dr","Hudsonville, MI","49426",,10/16/2023 0:00:00,10/16/2023 0:00:00,"","","","","","","","US","","",," ","0","",""
"001","AE","00000169","","169","6734 Delia Drive","Hudsonville, MI","49426",,11/1/2022 0:00:00,1/21/2022 0:00:00,"","","","","","","","US","","",,"","29500","",""
"001","AE","00000170","","170","6742 Delia Drive","Hudsonville, MI","49426",,4/24/2023 0:00:00,1/21/2022 0:00:00,"","","","","","","","US","","",,"","31500","",""
"001","AE","00000171","","171","6756 Delia Drive","Hudsonville, MI","49426",,6/7/2022 0:00:00,1/21/2022 0:00:00,"","","","","","","","US","","",," ","0","",""
"001","AE","99999999","","TEST","","","",,,12/15/2021 0:00:00,"","","","","","","","US","","",," ","0","",""
"001","AP","00000036","","36","1627 Autumn Valley Dr","Byron Center, Mi","49315",,,8/20/2018 0:00:00,"41-21-10-479-019","","","","","","","US","","",," ","0","",""
"001","AP","00000037","","37","1639 Autumn Valley Dr","Byron Center, Mi","49315",,6/22/2020 0:00:00,8/22/2018 0:00:00,"41-21-10-479-020","","","","","","","US","","",," ","0","",""
"001","AP","00000038","","38","1651 Autumn Valley Dr","Byron Center, MI","49315",,,8/20/2018 0:00:00,"41-21-10-479-021","","","","","","","US","","",," ","0","",""
"001","AP","00000039","","39","1663 Autumn Valley Dr","Byron Center, Mi","49315",,10/22/2018 0:00:00,8/20/2018 0:00:00,"41-21-10-479-022","","","","","","","US","","",," ","0","",""
"001","AP","00000040","","40","1675 Autumn Valley Dr.","Byron Center, Mi","49315",,9/11/2020 0:00:00,8/20/2018 0:00:00,"41-21-10-479-023","","","","","","","US","","",," ","0","",""
"001","AP","00000042","","42","1705 Autumn Valley Dr","Byron Center, MI","49315",,10/31/2019 0:00:00,8/20/2018 0:00:00,"41-21-10-479-025","","","","","","","US","","",," ","0","",""
"001","AP","00000043","","43","1727 Autumn Valley Dr","Byron Center, Mi","49315",,7/5/2019 0:00:00,8/20/2018 0:00:00,"41-21-10-479-026","","","","","","","US","","",," ","0","",""
"001","AP","00000044","","44","1741 Autumn Valley Dr","Byron Center, Mi","49315",,4/10/2019 0:00:00,8/20/2018 0:00:00,"41-21-10-479-027","","","","","","","US","","",," ","0","",""
"001","AP","00000045","","45","1759 Autumn Valley Dr","Byron Center, Mi","49315",,4/24/2020 0:00:00,8/20/2018 0:00:00,"41-21-10-479-028","","","","","","","US","","",," ","0","",""
"001","AP","00000046","","46","1771 Autumn Valley Dr","Byron Center, Mi","49315",,2/18/2020 0:00:00,8/20/2018 0:00:00,"41-21-10-479-029","","","","","","","US","","",," ","0","",""
"001","AP","00000047","","47","1787 Autumn Valley Dr","Byron Center, Mi","49315",,9/5/2018 0:00:00,8/20/2018 0:00:00,"41-21-10-479-030","","","","","","","US","","",," ","0","",""
"001","AP","00000048","","48","1799 Autumn Valley Dr","Byron Center, Mi","49315",,,8/20/2018 0:00:00,"41-21-10-479-031","","","","","","","US","","",," ","0","",""
"001","AP","00000049","","49","1811 Autumn Valley Dr","Byron Center, Mi","49315",,,8/20/2018 0:00:00,"41-21-10-479-032","","","","","","","US","","",," ","0","",""
"001","AP","00000050","","50","1827 Autumn Valley Dr","Byron Center, Mi","49315",,10/8/2020 0:00:00,8/20/2018 0:00:00,"41-21-10-479-033","","","","","","","US","","",," ","0","",""
"001","AP","00000053","","53","7329 Winter View Dr","Byron Center, Mi","49315",,,8/20/2018 0:00:00,"41-21-10-478-006","","","","","","","US","","",," ","0","",""
"001","AP","00000054","","54","7341 Winter View dr","Byron Center, Mi","49315",,,8/20/2018 0:00:00,"41-21-10-478-007","","","","","","","US","","",," ","0","",""
"001","AP","00000057","","57","1832 Autumn Valley Dr","Byron Center, Mi","49315",,12/2/2020 0:00:00,8/26/2020 0:00:00,"","","","","","","","US","","",," ","0","",""
"001","AP","00000058","","58","1820 Autumn Valley Dr","Byron Center, Mi","49315",,,8/20/2018 0:00:00,"41-21-10-480-002","","","","","","","US","","",," ","0","",""
"001","AP","00000059","","59","1808 Autumn Valley Dr","Byron Center, Mi","49315",,,8/20/2018 0:00:00,"41-21-10-480-003","","","","","","","US","","",," ","0","",""
"001","AP","00000060","","60","1796 Autumn Valley Dr","Byron Center, Mi","49315",,3/10/2020 0:00:00,8/20/2018 0:00:00,"41-21-10-480-004","","","","","","","US","","",," ","0","",""
"001","AP","00000061","","61","1784 Autumn Valley Dr","Byron Center, Mi","49315",,,8/20/2018 0:00:00,"41-21-10-480-005","","","","","","","US","","",," ","0","",""
"001","AP","00000062","","62","1772 Autumn Valley Dr","Byron Center, Mi","49315",,,8/20/2018 0:00:00,"41-21-10-480-006","","","","","","","US","","",," ","0","",""
"001","AP","00000063","","63","1760 Autumn Valley Dr","Byron Center, Mi","49315",,9/5/2018 0:00:00,8/20/2018 0:00:00,"41-21-10-480-007","","","","","","","US","","",," ","0","",""
"001","AP","00000064","","64","1748 Autumn Valley Dr","Byron Center, Mi","49315",,2/17/2020 0:00:00,8/20/2018 0:00:00,"41-21-10-480-008","","","","","","","US","","",," ","0","",""
"001","AP","00000065","","65","1736 Autumn Valley Dr","Byron Center, Mi","49315",,3/6/2019 0:00:00,8/20/2018 0:00:00,"41-21-10-480-009","","","","","","","US","","",," ","0","",""
"001","AP","00000066","","66","1724 Autumn Valley Dr","Byron Center, Mi","49315",,9/4/2019 0:00:00,8/20/2018 0:00:00,"41-21-10-480-010","","","","","","","US","","",," ","0","",""
"001","AP","00000067","","67","1712 Autumn Valley Dr","Byron Center, MI","49315",,8/2/2019 0:00:00,8/20/2018 0:00:00,"41-21-10-480-011","","","","","","","US","","",," ","0","",""
"001","AP","00000068","","68","1700 Autumn Valley Dr","Byron Center, Mi","49315",,1/10/2020 0:00:00,8/20/2018 0:00:00,"41-21-10-480-012","","","","","","","US","","",," ","0","",""
"001","AP","00000069","","69","1682 Autumn Valley Dr","Byron Center, Mi","49315",,,8/20/2018 0:00:00,"41-21-10-480-013","","","","","","","US","","",," ","0","",""
"001","AP","00000071","","71","1654 Autumn Valley Dr.","Byron Center, Mi","49315",,,8/20/2018 0:00:00,"41-21-10-480-016","","","","","","","US","","",," ","0","",""
"001","AP","00000072","","72","1642 Autumn Valley Dr","Byron Center, Mi","49315",,,8/20/2018 0:00:00,"41-21-10-480-016","","","","","","","US","","",," ","0","",""
"001","AP","00000073","","73","1630 Autumn Valley Dr.","Byron Center, MI","49315",,6/19/2019 0:00:00,8/20/2018 0:00:00,"41-21-10-480-017","","","","","","","US","","",," ","0","",""
"001","AP","00000074","","74","1618 Autumn Valley Dr","Byron Center, MI","49315",,7/22/2020 0:00:00,8/20/2018 0:00:00,"41-21-10-480-018","","","","","","","US","","",," ","0","",""
"001","AP","00000075","","75","1606 Autumn Valley Dr.","Byron Center, Mi","49315",,,8/20/2018 0:00:00,"41-21-10-480-019","","","","","","","US","","",," ","0","",""
"001","BC","00000040","","40","6276 Boulder RIdge","Belmont","Kent",,5/2/2017 0:00:00,3/20/2017 0:00:00,"","","","","","","","US","","",," ","0","",""
"001","BC","00000042","","42","6250 Boulder RIdge","Belmont","Kent",,7/17/2017 0:00:00,3/20/2017 0:00:00,"","","","","","","","US","","",," ","0","",""
"001","BH","00000001","","1","4169 Old Hawk Court","Grand Rapids, MI","49525",,3/27/2019 0:00:00,5/22/2018 0:00:00,"","","","","","","","US","","",," ","0","",""
"001","BH","00000002","","2","4177 Old Hawk Court","Grand Rapids, MI","49525",,9/4/2019 0:00:00,5/22/2018 0:00:00,"","","","","","","","US","","",," ","0","",""
"001","BH","00000003","","3","4183 Old Hawk Court","Grand Rapids, MI","49525",,10/22/2018 0:00:00,5/22/2018 0:00:00,"","","","","","","","US","","",," ","0","",""
"001","BH","00000004","","4","4189 Old Hawk Court","Grand Rapids Mi","49525",,,5/22/2018 0:00:00,"","","","","","","","US","","",," ","0","",""
"001","BH","00000005","","5","4195 Old Hawk Court","Grand Rapids, MI","49525",,6/27/2019 0:00:00,5/22/2018 0:00:00,"","","","","","","","US","","",," ","0","",""
"001","BH","00000006","","6","4201 Old Hawk Court","Grand Rapids, MI","49525",,2/20/2019 0:00:00,5/22/2018 0:00:00,"","","","","","","","US","","",," ","0","",""
"001","BH","00000007","","7","4192 Old Hawk Court","Grand Rapids, MI","49525",,2/20/2019 0:00:00,5/22/2018 0:00:00,"","","","","","","","US","","",," ","0","",""
"001","BH","00000008","","8","4188 Old Hawk Court","Grand Rapids, MI","49525",,8/6/2018 0:00:00,5/22/2018 0:00:00,"","","","","","","","US","","",," ","0","",""
"001","BH","00000009","","9","4160 Old Hawk Court","Grand Rapids Mi","49525",,,5/22/2018 0:00:00,"","","","","","","","US","","",," ","0","",""
"001","BH","00000010","","10","4148 Old Hawk Court","Grand Rapids, MI","49525",,8/2/2019 0:00:00,4/10/2018 0:00:00,"","","","","","","","US","","",," ","0","",""
"001","BH","00000011","","11","4136 Old Hawk Court","Grand Rapids, MI","49525",,5/20/2019 0:00:00,4/10/2018 0:00:00,"","","","","","","","US","","",," ","0","",""
"001","BH","00000012","","12","4124 Old Hawk Court","Grand Rapids, MI","49525",,8/6/2018 0:00:00,4/10/2018 0:00:00,"","","","","","","","US","","",," ","0","",""
"001","BH","00000013","","13","4112 Old Hawk Court","Grand Rapids, MI","49525",,5/8/2019 0:00:00,8/6/2018 0:00:00,"","","","","","","","US","","",," ","0","",""
"001","BH","00000014","","14","4100 Old Hawk Court","Grand Rapids, MI","49525",,7/8/2019 0:00:00,8/6/2018 0:00:00,"","","","","","","","US","","",," ","0","",""
"001","BH","00000015","","15","4088 Old Hawk Court","Grand Rapids, MI","49525",,10/26/2018 0:00:00,8/6/2018 0:00:00,"","","","","","","","US","","",," ","0","",""
"001","BH","00000016","","16","4083 Old Hawk Court","Grand Rapids, MI","49525",,10/22/2018 0:00:00,8/16/2018 0:00:00,"","","","","","","","US","","",," ","0","",""
"001","BH","00000017","","17","4095 Old Hawk Court","Grand Rapids, MI","49525",,8/21/2019 0:00:00,8/6/2018 0:00:00,"","","","","","","","US","","",," ","0","",""
"001","BH","00000018","","18","4111 Old Hawk Court","Grand Rapids, MI","49525",,2/17/2020 0:00:00,8/6/2018 0:00:00,"","","","","","","","US","","",," ","0","",""
"001","BH","00000019","","19","4123 Old Hawk Ct.","Grand Rapids, Mi","49525",,4/10/2018 0:00:00,4/10/2018 0:00:00,"","","","","","","","US","","",," ","0","",""
